dataset	lineage	field	n_cells	n_missing	missing_fraction	field_status
immuneindonesia	NK_ILC	dataset	50134	0	0.0	observed
immuneindonesia	NK_ILC	donor_id	50134	0	0.0	observed
immuneindonesia	NK_ILC	lineage	50134	0	0.0	observed
immuneindonesia	NK_ILC	pct_mt	50134	0	0.0	observed
immuneindonesia	NK_ILC	sample_id	50134	0	0.0	observed
immuneindonesia	NK_ILC	sex	50134	0	0.0	observed
immunobiologyaging	NK_ILC	age	507258	0	0.0	observed
immunobiologyaging	NK_ILC	batch	507258	0	0.0	observed
immunobiologyaging	NK_ILC	chemistry	507258	0	0.0	observed
immunobiologyaging	NK_ILC	ctype_high	507258	0	0.0	observed
immunobiologyaging	NK_ILC	ctype_high_conf	507258	0	0.0	observed
immunobiologyaging	NK_ILC	ctype_low	507258	0	0.0	observed
immunobiologyaging	NK_ILC	ctype_low_conf	507258	0	0.0	observed
immunobiologyaging	NK_ILC	dataset	507258	0	0.0	observed
immunobiologyaging	NK_ILC	donor_id	507258	0	0.0	observed
immunobiologyaging	NK_ILC	lineage	507258	0	0.0	observed
immunobiologyaging	NK_ILC	pct_mt	507258	0	0.0	observed
immunobiologyaging	NK_ILC	sample_id	507258	0	0.0	observed
immunobiologyaging	NK_ILC	sex	507258	0	0.0	observed
onek1k	NK_ILC	age	167540	0	0.0	observed
onek1k	NK_ILC	batch	167540	0	0.0	observed
onek1k	NK_ILC	chemistry	167540	0	0.0	observed
onek1k	NK_ILC	ctype_high	167540	0	0.0	observed
onek1k	NK_ILC	ctype_high_conf	167540	0	0.0	observed
onek1k	NK_ILC	ctype_low	167540	0	0.0	observed
onek1k	NK_ILC	ctype_low_conf	167540	0	0.0	observed
onek1k	NK_ILC	dataset	167540	0	0.0	observed
onek1k	NK_ILC	donor_id	167540	0	0.0	observed
onek1k	NK_ILC	lineage	167540	0	0.0	observed
onek1k	NK_ILC	pct_mt	167540	0	0.0	observed
onek1k	NK_ILC	sample_id	167540	0	0.0	observed
onek1k	NK_ILC	sex	167540	0	0.0	observed
terekhova	NK_ILC	age	203491	0	0.0	observed
terekhova	NK_ILC	batch	203491	0	0.0	observed
terekhova	NK_ILC	chemistry	203491	0	0.0	observed
terekhova	NK_ILC	ctype_high	203491	0	0.0	observed
terekhova	NK_ILC	ctype_high_conf	203491	0	0.0	observed
terekhova	NK_ILC	ctype_low	203491	0	0.0	observed
terekhova	NK_ILC	ctype_low_conf	203491	0	0.0	observed
terekhova	NK_ILC	dataset	203491	0	0.0	observed
terekhova	NK_ILC	donor_id	203491	0	0.0	observed
terekhova	NK_ILC	lineage	203491	0	0.0	observed
terekhova	NK_ILC	pct_mt	203491	0	0.0	observed
terekhova	NK_ILC	sample_id	203491	0	0.0	observed
terekhova	NK_ILC	sex	203491	0	0.0	observed
aidav2	T_others	age	83799	0	0.0	observed
aidav2	T_others	batch	83799	0	0.0	observed
aidav2	T_others	chemistry	83799	0	0.0	observed
aidav2	T_others	ctype_high	83799	0	0.0	observed
aidav2	T_others	ctype_high_conf	83799	0	0.0	observed
aidav2	T_others	ctype_low	83799	0	0.0	observed
aidav2	T_others	ctype_low_conf	83799	0	0.0	observed
aidav2	T_others	dataset	83799	0	0.0	observed
aidav2	T_others	donor_id	83799	0	0.0	observed
aidav2	T_others	lineage	83799	0	0.0	observed
aidav2	T_others	pct_mt	83799	0	0.0	observed
aidav2	T_others	sample_id	83799	0	0.0	observed
aidav2	T_others	sex	83799	0	0.0	observed
