dataset	lineage	fine_type	n_cells	n_donors	n_samples	confidence_missing	confidence_mean	confidence_lt_0_7	confidence_lt_0_9	confidence_min	confidence_q05	confidence_q25	confidence_median	confidence_q75	confidence_q95	confidence_max
terekhova	CD4_like	Tcm/Naive helper T cells	701290	166	317	0	0.9749760923491648	0	60014	0.7000023701931554	0.8457155658551887	0.982101937632921	0.9978788241330214	0.9997227467380486	0.999981653054338	0.9999999984684607
terekhova	CD4_like	Tem/Effector helper T cells	103509	166	317	0	0.937633481805878	0	24312	0.7000062228071889	0.7635496452341517	0.9066913889944408	0.9711076644633669	0.9935539914826749	0.9994958826652064	0.9999999052891587
aidav2	CD8_like	Tcm/Naive cytotoxic T cells	100875	624	624	0	0.9897045870564181	0	3199	0.7000351791576904	0.9382229952781177	0.9976486893384737	0.9997876620032168	0.9999768770880652	0.9999988348695398	0.9999999995168007
aidav2	CD8_like	Tem/Temra cytotoxic T cells	102762	622	622	0	0.9706927268787717	0	10628	0.7000840889968676	0.8268855864246409	0.9746470661745256	0.9970888144146242	0.9997484999070777	0.9999927769806206	0.9999999991227231
aidav2	CD8_like	Tem/Trm cytotoxic T cells	42421	623	623	0	0.9617360600623669	0	6055	0.7000024294385087	0.793239163707568	0.9583021175937474	0.995064696332685	0.9996060374967304	0.9999867861121449	0.9999999910787206
immuneindonesia	CD8_like	Tcm/Naive cytotoxic T cells	18990	173	173	0	0.9603971736856614	0	2739	0.7004454043358926	0.7985002648112177	0.953583193171841	0.9926532039013878	0.9990823161068012	0.9999515031966449	0.9999999492397705
immuneindonesia	CD8_like	Tem/Temra cytotoxic T cells	16180	174	174	0	0.9180447623329043	0	5396	0.700003763319007	0.7396619596046178	0.862263230516462	0.9524818563252282	0.9899756136761739	0.9994441474385998	0.9999989357229964
immuneindonesia	CD8_like	Tem/Trm cytotoxic T cells	22286	174	174	0	0.9304400148685538	0	6245	0.7000737621455513	0.745385311047047	0.886318274748653	0.9703314551993285	0.9959702886062747	0.9998627042853507	0.9999999585373113
immunobiologyaging	CD8_like	Tcm/Naive cytotoxic T cells	162110	234	234	0	0.9550029213606391	0	26069	0.7000018929742509	0.7889355872311489	0.9426300490715873	0.987503144291424	0.997756449240262	0.9998275510336407	0.9999999494357233
immunobiologyaging	CD8_like	Tem/Temra cytotoxic T cells	304383	234	234	0	0.9824976757530144	0	18251	0.7000172674032953	0.8805694142396835	0.9934644654587051	0.9995080967504518	0.9999589602981467	0.9999985138216372	0.9999999996928357
immunobiologyaging	CD8_like	Tem/Trm cytotoxic T cells	73955	234	234	0	0.9420749638811657	0	16697	0.7000036478931762	0.7585051389520334	0.9124737983138255	0.9813472843314736	0.9975437220659344	0.9998808027423958	0.9999999382973668
